"ensembl_gene_id","external_gene_name","description","gene_biotype","baseMean","log2FoldChange","lfcSE","pvalue","padj","diffexpressed","delabel"
"ENSG00000000938","FGR","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]","protein_coding",6624.12184602672,-11.5269873787567,0.931158179497816,7.33160536511802e-35,2.6142042488605e-33,"DOWN",NA
"ENSG00000026751","SLAMF7","SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]","protein_coding",28206.656840305,-15.1064507136187,1.42269092658227,1.59837176497692e-25,3.54482230714366e-24,"DOWN",NA
"ENSG00000064886","CHI3L2","chitinase 3 like 2 [Source:HGNC Symbol;Acc:HGNC:1933]","protein_coding",55299.6600738765,-13.9846103028681,0.990063399410728,4.19716342553523e-45,2.24907887213144e-43,"DOWN",NA
"ENSG00000066294","CD84","CD84 molecule [Source:HGNC Symbol;Acc:HGNC:1704]","protein_coding",1964.6337505512,-10.2780844162209,1.10824846071599,5.60155393396476e-20,8.92422260005785e-19,"DOWN",NA
"ENSG00000072694","FCGR2B","Fc gamma receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]","protein_coding",4183.70439926273,-10.5276949582731,0.81275186100874,2.57307536401834e-37,1.01827936589399e-35,"DOWN",NA
"ENSG00000081237","PTPRC","protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]","protein_coding",14437.0264159543,-12.7218816999614,0.864836662889736,6.25002523576731e-47,3.57823376375298e-45,"DOWN",NA
"ENSG00000090104","RGS1","regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]","protein_coding",32434.9621222139,-18.1952051082869,3.84934602868964,3.99780425800879e-27,9.6976574899729e-26,"DOWN",NA
"ENSG00000092607","TBX15","T-box transcription factor 15 [Source:HGNC Symbol;Acc:HGNC:11594]","protein_coding",710.091863552715,-12.0959745986118,3.22533852936648,1.14566622482149e-13,1.19365751596743e-12,"DOWN",NA
"ENSG00000116701","NCF2","neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]","protein_coding",6245.13138663469,-12.8903293947529,1.35716531231097,1.80336047940924e-20,2.95580755075522e-19,"DOWN",NA
"ENSG00000117090","SLAMF1","signaling lymphocytic activation molecule family member 1 [Source:HGNC Symbol;Acc:HGNC:10903]","protein_coding",17533.4979269299,-17.0313139927077,3.39485008110167,6.24806148193821e-28,1.57748306483647e-26,"DOWN",NA
"ENSG00000117091","CD48","CD48 molecule [Source:HGNC Symbol;Acc:HGNC:1683]","protein_coding",56391.2736048028,-19.0641821967239,3.92487448957227,7.80262397249728e-30,2.19166695472298e-28,"DOWN",NA
"ENSG00000120937","NPPB","natriuretic peptide B [Source:HGNC Symbol;Acc:HGNC:7940]","protein_coding",25.8520228939164,10.3584427503273,3.12275015635568,9.26612279721776e-10,6.74835572234539e-09,"UP",NA
"ENSG00000122188","LAX1","lymphocyte transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:26005]","protein_coding",1183.18873958277,-12.8678288368172,3.32254526065632,3.58960555121511e-14,3.86888774069222e-13,"DOWN",NA
"ENSG00000122223","CD244","CD244 molecule [Source:HGNC Symbol;Acc:HGNC:18171]","protein_coding",630.438899204591,-11.8713709545536,3.22097735315409,9.45481011326723e-13,9.05205810776937e-12,"DOWN",NA
"ENSG00000122224","LY9","lymphocyte antigen 9 [Source:HGNC Symbol;Acc:HGNC:6730]","protein_coding",2917.95560615862,-14.4042342870258,3.45366089474571,5.66691186192737e-19,8.49040642332252e-18,"DOWN",NA
"ENSG00000132185","FCRLA","Fc receptor like A [Source:HGNC Symbol;Acc:HGNC:18504]","protein_coding",26755.1229089582,-13.1499692088122,0.928892314978155,7.72689715726179e-46,4.25263310856338e-44,"DOWN",NA
"ENSG00000134242","PTPN22","protein tyrosine phosphatase non-receptor type 22 [Source:HGNC Symbol;Acc:HGNC:9652]","protein_coding",9053.95143577796,-11.6447028218391,0.761218663311475,2.39327247563651e-51,1.64886622328719e-49,"DOWN",NA
"ENSG00000136634","IL10","interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]","protein_coding",1307.57801139762,-13.0964141988502,3.33344118380711,1.20341140059825e-15,1.42912637698758e-14,"DOWN",NA
"ENSG00000137959","IFI44L","interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]","protein_coding",64268.2480563192,-15.4215018104523,1.06111580610356,5.74061005487763e-46,3.19654243642834e-44,"DOWN",NA
"ENSG00000137965","IFI44","interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]","protein_coding",19149.0795630119,-12.7309536702561,0.780874889616732,3.21784054839187e-58,2.87023307096998e-56,"DOWN",NA
"ENSG00000142224","IL19","interleukin 19 [Source:HGNC Symbol;Acc:HGNC:5990]","protein_coding",817.189962057511,-12.338847653328,3.22125599568316,1.10162767583666e-14,1.23020855134444e-13,"DOWN",NA
"ENSG00000142583","SLC2A5","solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]","protein_coding",8803.33735342778,-12.5050873531175,1.07181219724189,3.25971692658322e-30,9.33118565684093e-29,"DOWN",NA
"ENSG00000142871","CCN1","cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]","protein_coding",16828.3743039261,13.6798152475682,0.545145700717806,6.34923045652068e-140,9.03305017049197e-137,"UP",NA
"ENSG00000143119","CD53","CD53 molecule [Source:HGNC Symbol;Acc:HGNC:1686]","protein_coding",68553.3071772298,-19.3914714675917,3.93118409020681,8.07107607028659e-33,2.59496495484672e-31,"DOWN",NA
"ENSG00000143297","FCRL5","Fc receptor like 5 [Source:HGNC Symbol;Acc:HGNC:18508]","protein_coding",14441.4997386992,-16.9676015065425,3.68147933111653,4.69492073342029e-27,1.1330727273006e-25,"DOWN",NA
"ENSG00000143842","SOX13","SRY-box transcription factor 13 [Source:HGNC Symbol;Acc:HGNC:11192]","protein_coding",1429.12034632335,11.2806864569379,0.720287904734963,5.09101531766761e-56,4.11533380252597e-54,"UP",NA
"ENSG00000143851","PTPN7","protein tyrosine phosphatase non-receptor type 7 [Source:HGNC Symbol;Acc:HGNC:9659]","protein_coding",5483.93102140129,-10.5733062168409,0.71467096177915,3.98723009722552e-49,2.49346472937263e-47,"DOWN",NA
"ENSG00000154451","GBP5","guanylate binding protein 5 [Source:HGNC Symbol;Acc:HGNC:19895]","protein_coding",1043.1499090049,-10.158400999462,1.42754839341411,1.76782974295895e-12,1.65032242474259e-11,"DOWN",NA
"ENSG00000158481","CD1C","CD1c molecule [Source:HGNC Symbol;Acc:HGNC:1636]","protein_coding",1172.23105652872,-12.937062840425,3.29714516739111,6.97677660550547e-16,8.44394732169514e-15,"DOWN",NA
"ENSG00000158966","CACHD1","cache domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29314]","protein_coding",1703.63126141126,10.5243297502586,0.497662741039894,9.17125740952957e-100,3.78201388885151e-97,"UP",NA
"ENSG00000162511","LAPTM5","lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]","protein_coding",87016.9838765782,-12.0316932319319,0.544873003729677,4.61811469182915e-110,2.52699683540974e-107,"DOWN",NA
"ENSG00000162594","IL23R","interleukin 23 receptor [Source:HGNC Symbol;Acc:HGNC:19100]","protein_coding",671.466002013838,-11.968088285135,3.23400506389034,7.81125019202633e-13,7.5393932484368e-12,"DOWN",NA
"ENSG00000162722","TRIM58","tripartite motif containing 58 [Source:HGNC Symbol;Acc:HGNC:24150]","protein_coding",2331.85281959516,17.7580975868476,3.5444880009494,3.50306683536109e-46,1.96213117585363e-44,"UP",NA
"ENSG00000162739","SLAMF6","SLAM family member 6 [Source:HGNC Symbol;Acc:HGNC:21392]","protein_coding",12399.684353278,-16.717680783524,3.6691443911045,1.36866704931955e-25,3.04250407979207e-24,"DOWN",NA
"ENSG00000162896","PIGR","polymeric immunoglobulin receptor [Source:HGNC Symbol;Acc:HGNC:8968]","protein_coding",2985.10379663432,-14.3434640134257,3.55564073613883,1.51729366108688e-15,1.79215748578523e-14,"DOWN",NA
"ENSG00000163518","FCRL4","Fc receptor like 4 [Source:HGNC Symbol;Acc:HGNC:18507]","protein_coding",636.236496571756,-11.7945385805316,3.32653293892642,6.10004135864546e-11,4.9492608160507e-10,"DOWN",NA
"ENSG00000163563","MNDA","myeloid cell nuclear differentiation antigen [Source:HGNC Symbol;Acc:HGNC:7183]","protein_coding",4767.38295970108,-11.0955517013486,0.920759922984506,3.17596866521932e-32,9.97450467992831e-31,"DOWN",NA
"ENSG00000163564","PYHIN1","pyrin and HIN domain family member 1 [Source:HGNC Symbol;Acc:HGNC:28894]","protein_coding",441.767442398507,-11.2997863318169,3.15295420018914,5.65044544070748e-12,5.03689769955798e-11,"DOWN",NA
"ENSG00000163568","AIM2","absent in melanoma 2 [Source:HGNC Symbol;Acc:HGNC:357]","protein_coding",3103.42594605375,-14.5165717289689,3.44986602889233,7.38004074915314e-20,1.16726892427128e-18,"DOWN",NA
